timestamp,phase,inbound_pps,cpu_system_pct,tcp_total,tcp_syn_recv,response_time_sec,ddos_threat_score
2026-04-29 20:15:13+00,baseline,244,,,,,
2026-04-29 20:15:14+00,baseline,,,,,,
2026-04-29 20:15:15+00,baseline,,3.008344,,0,,0.42681929999999996
2026-04-29 20:15:16+00,baseline,,,,,,
2026-04-29 20:15:17+00,baseline,,,8,,,
2026-04-29 20:15:18+00,baseline,237,,,,,
2026-04-29 20:15:19+00,baseline,,,,,,
2026-04-29 20:15:20+00,baseline,,,,0,,
2026-04-29 20:15:21+00,baseline,,,,,,
2026-04-29 20:15:22+00,baseline,,,8,,,
2026-04-29 20:15:23+00,baseline,251,,,,,
2026-04-29 20:15:24+00,baseline,,,,,,
2026-04-29 20:15:25+00,baseline,,3.032301,,0,,0.4317193
2026-04-29 20:15:26+00,baseline,,,,,,
2026-04-29 20:15:27+00,baseline,,,8,,,
2026-04-29 20:15:28+00,baseline,303,,,,,
2026-04-29 20:15:29+00,baseline,,,,,,
2026-04-29 20:15:30+00,baseline,,,,0,,
2026-04-29 20:15:31+00,baseline,,,,,,
2026-04-29 20:15:32+00,baseline,,,9,,,
2026-04-29 20:15:33+00,baseline,266,,,,,
2026-04-29 20:15:34+00,baseline,,,,,,
2026-04-29 20:15:35+00,baseline,,3.055434,,0,,0.44221930000000004
2026-04-29 20:15:36+00,baseline,,,,,,
2026-04-29 20:15:37+00,baseline,,,8,,,
2026-04-29 20:15:38+00,baseline,19,,,,,
2026-04-29 20:15:39+00,baseline,,,,,2.228507,
2026-04-29 20:15:40+00,baseline,,,,0,,
2026-04-29 20:15:41+00,baseline,,,,,0.006295,
2026-04-29 20:15:42+00,baseline,,,9,,,
2026-04-29 20:15:43+00,baseline,23,,,,,
2026-04-29 20:15:44+00,baseline,,,,,,
2026-04-29 20:15:45+00,baseline,,2.972445,,0,,0.33596250000000005
2026-04-29 20:15:46+00,baseline,,,,,,
2026-04-29 20:15:47+00,baseline,,,9,,,
2026-04-29 20:15:48+00,baseline,20,,,,,
2026-04-29 20:15:49+00,baseline,,,,,,
2026-04-29 20:15:50+00,baseline,,,,0,,
2026-04-29 20:15:51+00,baseline,,,,,0.02998,
2026-04-29 20:15:52+00,baseline,,,10,,,
2026-04-29 20:15:53+00,baseline,26,,,,,
2026-04-29 20:15:54+00,baseline,,,,,,
2026-04-29 20:15:55+00,baseline,,2.759499,,0,,0.34279950000000003
2026-04-29 20:15:56+00,baseline,,,,,,
2026-04-29 20:15:57+00,baseline,,,10,,,
2026-04-29 20:15:58+00,baseline,24,,,,,
2026-04-29 20:15:59+00,baseline,,,,,,
2026-04-29 20:16:00+00,baseline,,,,0,,
2026-04-29 20:16:01+00,baseline,,,,,0.009314,
2026-04-29 20:16:02+00,baseline,,,11,,,
2026-04-29 20:16:03+00,baseline,18,,,,,
2026-04-29 20:16:04+00,baseline,,,,,,
2026-04-29 20:16:05+00,baseline,,2.514025,,0,,0.33306630000000004
2026-04-29 20:16:06+00,baseline,,,,,,
2026-04-29 20:16:07+00,baseline,,,11,,,
2026-04-29 20:16:08+00,baseline,15,,,,,
2026-04-29 20:16:09+00,baseline,,,,,,
2026-04-29 20:16:10+00,baseline,,,,0,,
2026-04-29 20:16:11+00,baseline,,,,,0.005724,
2026-04-29 20:16:12+00,baseline,,,11,,,
2026-04-29 20:16:13+00,baseline,17,,,,,
2026-04-29 20:16:14+00,baseline,,,,,,
2026-04-29 20:16:15+00,baseline,,2.315661,,0,,0.33164830000000006
2026-04-29 20:16:16+00,baseline,,,,,,
2026-04-29 20:16:17+00,baseline,,,11,,,
2026-04-29 20:16:18+00,baseline,16,,,,,
2026-04-29 20:16:19+00,baseline,,,,,,
2026-04-29 20:16:20+00,baseline,,,,0,,
2026-04-29 20:16:21+00,baseline,,,,,0.016435,
2026-04-29 20:16:22+00,baseline,,,12,,,
2026-04-29 20:16:23+00,baseline,18,,,,,
2026-04-29 20:16:24+00,baseline,,,,,,
2026-04-29 20:16:25+00,baseline,,2.108613,,0,,0.3344905
2026-04-29 20:16:26+00,baseline,,,,,,
2026-04-29 20:16:27+00,baseline,,,11,,,
2026-04-29 20:16:28+00,baseline,19,,,,,
2026-04-29 20:16:29+00,baseline,,,,,,
2026-04-29 20:16:30+00,baseline,,,,0,,
2026-04-29 20:16:31+00,baseline,,,,,0.014649,
2026-04-29 20:16:32+00,baseline,,,10,,,
2026-04-29 20:16:33+00,baseline,22,,,,,
2026-04-29 20:16:34+00,baseline,,,,,,
